pairID	gold_label	Sentence1	Sentence2	Explanation_1	Sentence1_si	Sentence2_si	Explanation_1_si
194467990.jpg#2r1n	neutral	A man is throwing a blue frisbee at a frisbee golf target.	A man is playing frisbee alone.	The man in not necessarily playing alone just because he is throwing a frisbee.	Moški meče modri frizbi v tarčo za frizbi golf.	Človek sam igra frizbi.	Ni nujno, da moški igra sam samo zato, ker meče frizbi.
543603259.jpg#1r1c	contradiction	A woman with a bag stands on a street near a man leaning on a wall.	The couple is inside	A Street is normally not inside.	Ženska s torbo stoji na ulici blizu moškega, ki se naslanja na steno.	Par je notri	Ulica običajno ni notri.
274797394.jpg#2r1n	neutral	Two smiling kitchen workers are mashing something.	Two women smiling while mashing potatoes.	mashing something could have been something other than mashing potatoes.	Dva nasmejana kuhinjska delavca nekaj mesčita.	Dve ženski se smejita med mečkanjem krompirja.	zmečkanje nečesa bi lahko bilo kaj drugega kot pire krompir.
3721584359.jpg#1r1c	contradiction	Two men wearing black t-shirt and headphones are next to a silver race car.	A woman is standing all by herself.	It's either two men or a woman.	Dva moška, oblečena v črno majico in slušalke, sta poleg srebrnega dirkalnika.	Ženska stoji čisto sama.	Ali sta dva moška ali ženska.
5249006378.jpg#0r1n	neutral	A young black man sits in a unfinished brick and mortar building, the large window to his left has no glass, it is daytime and the sun drenches the room, he sits at simple bench and desk holding two blue pens and reading from one of the two note books that lay on the desk, he wears a yellow polo and lights blue shorts.	The young black man sits in an unfinished house while he looks over plans on how to finish it.	There is no reason to assume the building is a house. There is no indication that the notes are plans on how to finish the house.	Mlad temnopolti moški sedi v nedokončani stavbi iz opeke in malte, veliko okno na njegovi levi je brez stekla, dan je in sonce sije sobo, sedi za preprosto klopjo in mizo, drži dve modri peresi in bere z enega od dva zvezka, ki ležita na mizi, nosi rumeno polo majico in prižge modre kratke hlače.	Mladi črnec sedi v nedokončani hiši in pregleduje načrte, kako jo dokončati.	Nobenega razloga ni za domnevo, da je stavba hiša. Nič ne kaže, da so zapiski načrti o tem, kako dokončati hišo.
196522488.jpg#1r1c	contradiction	An excavator working at a construction site.	A guy is milking a cow.	excavator is not a guy milking a cow	Bager, ki dela na gradbišču.	Tip molze kravo.	bager ni tip, ki molze kravo
1343426964.jpg#4r1c	contradiction	A young kid at the beach.	The beach is completely empty.	If there is a young kid at the beach, it is impossible that the beach is completely empty.	Mlad otrok na plaži.	Plaža je popolnoma prazna.	Če je na plaži mlad otrok, je nemogoče, da je plaža popolnoma prazna.
5753038227.jpg#1r4e	entailment	An asian child with a yellow bow in her hair on a swing with an asian woman standing behind her.	A child sits on a swing with a woman behind her.	if a child is on a swing, then they sit on the swing.	Azijski otrok z rumeno pentljo v laseh na gugalnici, za njim pa stoji azijska ženska.	Otrok sedi na gugalnici z žensko za njim.	če je otrok na gugalnici, potem sede na gugalnico.
vg_verb111r5n	neutral	The pain job on this craft is pleasing to the eye.	The colors on this project are fun to look at.	Pleasing does not imply fun.	Bolečina na tem plovilu je prijetna za oko.	Barve na tem projektu so zabavne.	Ugajanje ne pomeni zabave.
2648310638.jpg#0r4c	contradiction	Person in blue top and shorts wearing a cap standing on a road with mountain with trees in the background.	The person was indoors playing video games.	One can not be standing on a road and indoors simultaneously.	Oseba v modrem majici in kratkih hlačah s kapo, ki stoji na cesti z goro in drevesi v ozadju.	Oseba je bila v zaprtem prostoru in je igrala video igre.	Ne moremo stati na cesti in v zaprtih prostorih hkrati.
156249400.jpg#0r2n	neutral	One man wearing camouflage pants and green t-shirt stands with one foot on a square while another man wearing the same type of clothing reaches out with a baseball glove on his left hand.	two rednecks play in a field	It can't be assumed that the two men were rednecks and that they were playing in a field.	En moški, oblečen v maskirne hlače in zeleno majico, stoji z eno nogo na kvadratu, medtem ko drugi moški, oblečen v isto vrsto oblačil, iztegne roko z bejzbolsko rokavico na levi roki.	dva rdečkasta se igrata na igrišču	Ni mogoče domnevati, da sta bila moška rdečevratka in da sta se igrala na polju.
1814391289.jpg#1r2c	contradiction	A child that is dressed as Spiderman is ringing the doorbell.	The child is driving a car.	There isn't a doorbell inside a car.	Otrok, oblečen v Spidermana, zvoni na vratih.	Otrok vozi avto.	V avtu ni zvonca.
3965762928.jpg#4r1e	entailment	A man enjoying a drink in a cup.	A guy is drinking something.	If a man is enjoying a drink in a cup, then he must be drinking something.	Moški uživa v pijači v skodelici.	Tip nekaj pije.	Če človek uživa v pijači v skodelici, potem mora nekaj piti.
4947321869.jpg#3r1e	entailment	A woman with red-hair looking to her left.	The woman is looking at something.	if the woman is looking to her left, she must be looking at something.	Ženska z rdečimi lasmi, ki gleda na njeno levo.	Ženska nekaj gleda.	če ženska gleda na levo, mora nekaj gledati.
2705105025.jpg#4r4e	entailment	People sitting on a rug around ropes.	People sit on the rug.	sitting on a rug is a rephrasing of sit on the rug	Ljudje sedijo na preprogi okoli vrvi.	Ljudje sedijo na preprogi.	sedenje na preprogi je preoblikovana beseda sedeti na preprogi
5682364328.jpg#1r1n	neutral	A man jumping his bicycle off dirt mounds is several feet in the air.	A man is performing in BMX.	A man jumping a bicycle off dirt mounds cannot be assumed to be performing in BMX.	Človek, ki skače s kolesom z nasipov zemlje, je nekaj metrov v zraku.	Moški nastopa v BMX-u.	Za moškega, ki skače s kolesom z zemeljskih nasipov, ni mogoče domnevati, da nastopa v BMX-u.
7662830402.jpg#4r1c	contradiction	a baseball game is taking place	They are playing soccer.	A baseball game cannot be taking place if they are playing soccer.	poteka bejzbolska tekma	Igrajo nogomet.	Bejzbolska tekma ne more potekati, če igrajo nogomet.
4401472290.jpg#4r1n	neutral	Muslim walking in procession.	Muslim walking in procession to the mosque	The muslims in sentence 1 could be walking towards any direction instead of to the mosque.	Muslimanska hoja v procesiji.	Muslimani hodijo v procesiji do mošeje	Muslimani v 1. stavku bi lahko hodili v katero koli smer namesto v mošejo.
200764658.jpg#3r5n	neutral	A man and two small children laying on a tiled floor.	A man and his children talk about what they want to be when they grow up while laying down on the floor.	They are not necessarily talking about what they want to be when they grow up.	Moški in dva majhna otroka ležijo na popločanih tleh.	Moški in njegovi otroci se med poležavanjem na tleh pogovarjajo o tem, kaj bi radi postali, ko odrastejo.	Ni nujno, da govorijo o tem, kaj želijo postati, ko odrastejo.
2549452277.jpg#4r1n	neutral	The man with the ponytail and helmet looks on.	The man is very wealthy.	Not all man with the ponytail and helmet is very wealthy.	Moški s čopom in čelado gleda.	Človek je zelo bogat.	Niso vsi moški s čopom in čelado zelo bogati.
6808669924.jpg#0r1e	entailment	A man and a woman are in a small white boat with a red paddle and an outboard motor in a body of water on a sunny day.	The people pictured are outside.	A man and a woman are people, and they must be outside if they are riding a boat in a body of water.	Moški in ženska sta v majhnem belem čolnu z rdečim veslom in izvenkrmnim motorjem v vodnem telesu na sončen dan.	Ljudje na sliki so zunaj.	Moški in ženska sta človeka in morata biti zunaj, če se vozita s čolnom v vodnem telesu.
1348957576.jpg#0r4n	neutral	A blond woman in a white tank top and sunglasses is talking to a man sitting next to boats on a rock surface.	a woman spoke to her lover	A woman can talk to a man without him being her lover.	Plavolasa ženska v beli majici brez rokavov in s sončnimi očali se pogovarja z moškim, ki sedi poleg čolnov na skalni površini.	ženska je govorila svojemu ljubimcu	Ženska se lahko pogovarja z moškim, ne da bi bil njen ljubimec.
4970561178.jpg#4r1c	contradiction	A woman sitting on a scooter.	The person is in a cross-legged position in an area with no gravity and is not fastened to anything.	If there is no gravity then the woman could not be sitting because she would be floating.	Ženska sedi na skuterju.	Oseba je v položaju s prekrižanimi nogami v območju brez gravitacije in ni na nič pripeta.	Če ni gravitacije, ženska ne bi mogla sedeti, ker bi lebdela.
3319058642.jpg#4r1e	entailment	Two girls holding hands in orange clothes	Girls are friends	Girls normally holding hands when they are good friends.	Dve dekleti se držita za roke v oranžnih oblačilih	Dekleta so prijateljice	Dekleta se običajno držijo za roke, ko so dobre prijateljice.
2807437977.jpg#3r1c	contradiction	A wedding ceremony in a church.	a man plays the piano	If there is a wedding ceremony, there would be more than just one man there.	Poročni obred v cerkvi.	moški igra klavir	Če je poročni obred, bi bilo tam več kot le en moški.
441176884.jpg#2r2n	neutral	A man preparing a white volkswagen to be towed by a AAA certified tow-truck.	a man is towing an illegally parked car	A vehicle can be towed for reasons other than being illegally parked. Not all Volkswagens are cars.	Človek, ki pripravlja belega volkswagna, da ga vleče vlečno vozilo s certifikatom AAA.	moški vleče nepravilno parkiran avto	Vozilo se lahko vleče tudi iz drugih razlogov, kot je nepravilno parkirano. Vsi Volkswagni niso avtomobili.
3192266178.jpg#4r1e	entailment	A man in a uniform playing with a black dog.	Man playing with dog.	"""Man playing with dog"" simply omits the description of the dog and what the man is wearing."	Moški v uniformi, ki se igra s črnim psom.	Človek, ki se igra s psom.	&quot;Človek se igra s psom&quot; preprosto izpusti opis psa in tega, kaj moški nosi.
4003587342.jpg#4r1c	contradiction	A little boy is walking on a fallen tree in the woods.	A little boy is standing on a fallen tree in the woods.	one boy is walking while the other is just standing	Deček hodi po podrtem drevesu v gozdu.	Deček stoji na podrtem drevesu v gozdu.	en fant hodi, drugi pa samo stoji
4636054805.jpg#2r1e	entailment	A man and a woman are sitting on a bench by a body of water.	Humans sitting	Human are a man and a women are sitting in a bench	Moški in ženska sedita na klopci ob vodnem telesu.	Ljudje sedijo	Človek je moški in ženska, ki sedita v klopi
2308029439.jpg#1r1e	entailment	A dark-haired woman in a bright red coat is sitting on a raised concrete rectangle.	A woman is sitting.	A woman is sitting is the same as a woman is sitting.	Temnolasa ženska v živo rdečem plašču sedi na dvignjenem betonskem pravokotniku.	Ženska sedi.	Ženska sedi je isto kot ženska sedi.
121197973.jpg#4r1n	neutral	Smiling man toggles his clear glasses in social setting.	A man takes a photo of someone with Google Glass.	not all glasses are google glasses	Nasmejani moški menja prozorna očala v družabnem okolju.	Moški fotografira nekoga z Google Glass.	niso vsa očala google očala
3688364166.jpg#1r5c	contradiction	Man with a white hat and white shirt playing many instruments on stage next to a sign that says Appeared on Jimmy Kimmel.	The man is sleeping in his bedroom.	The man can not be sleeping while he is playing instruments.	Moški z belim klobukom in belo srajco igra na številne inštrumente na odru poleg znaka z napisom Appeared on Jimmy Kimmel.	Moški spi v svoji spalnici.	Človek ne more spati, medtem ko igra instrumente.
5506395415.jpg#4r1e	entailment	Two people are hiding under giant bowls, possibly to avoid the sun.	Two people are concealing themselves.	Concealing is a synonym for hiding.	Dve osebi se skrivata pod velikanskima skledama, morda zato, da bi se izognila soncu.	Dve osebi se skrivata.	Prikrivanje je sinonim za skrivanje.
643684227.jpg#3r1n	neutral	A woman is using a net to catch fish on the river.	The river is dirty	The river is not necessarily dirty.	Ženska z mrežo lovi ribe na reki.	Reka je umazana	Reka ni nujno umazana.
263480341.jpg#1r1c	contradiction	Four females, one of which is a child wearing a mask in a pink shirt.	Four men stood alone wearing masks.	Females are not men.	Štiri samice, ena od njih je otrok z masko v roza srajčki.	Štirje moški so stali sami z maskami.	Ženske niso moški.
7302659678.jpg#0r1n	neutral	A man with glasses holding an infant dressed in a white jumper.	A father wearing sunglasses holds up his smiling baby boy.	Sentence 1 is missing sunglasses	Moški z očali drži dojenčka, oblečenega v bel jopič.	Oče s sončnimi očali drži svojega nasmejanega dečka.	V 1. stavku manjkajo sončna očala
23775702.jpg#0r1n	neutral	A group of people are standing outside watching something happening.	The bystanders are being noisy after the police closed down the streets.	A group of people isn't always noisy. Something happening doesn't imply the police closed down the streets.	Skupina ljudi stoji zunaj in opazuje, kaj se dogaja.	Mimoidoči so hrupni, potem ko je policija zaprla ulice.	Skupina ljudi ni vedno hrupna. Če se nekaj zgodi, ne pomeni, da je policija zaprla ulice.
3307563498.jpg#0r1c	contradiction	A child begins to climb over a chain with water on the other side.	The child is walking on hot coals.	One is either climbing over a chain or walking on hot coals.	Otrok začne plezati čez verigo z vodo na drugi strani.	Otrok hodi po vročem oglju.	Ena je ali plezanje čez verigo ali hoja po vročem oglju.
4534537073.jpg#4r1e	entailment	A woman is walking down the sidewalk.	woman on side walk	Walking down the side walk is the same as being on the side walk.	Ženska hodi po pločniku.	ženska na sprehodu	Hoja po stranskem hodniku je enaka hoji po stranskem hodniku.
7012337521.jpg#2r1c	contradiction	Men in uniform with swords standing in formation.	The men are in regular clothing.	Regular clothing is not a uniform	Možje v uniformah z meči stojijo v formaciji.	Moški so v običajnih oblačilih.	Običajna oblačila niso uniforma
39024981.jpg#2r1c	contradiction	One woman is smoking and talking to another woman.	There is a group of clowns talking.	Two woman talking is not a group of clowns.	Ena ženska kadi in se pogovarja z drugo žensko.	Tam se pogovarja skupina klovnov.	Dve ženski, ki se pogovarjata, ni skupina klovnov.
4824923804.jpg#4r1c	contradiction	A group of people are protesting in a grassy area.	The group of people are having a picnic	you cannot be protesting and having a picnic at the same time.	Skupina ljudi protestira na travnati površini.	Skupina ljudi ima piknik	ne moreš protestirati in imeti piknik hkrati.
3590653633.jpg#0r1n	entailment	A rodeo clown ties a rope around an older rodeo clown as he sits in the dirt.	The rodeo clowns are playing around.	rodeo clown ties a rope around an older rodeo clown implies that they are playing.	Rodeo klovn priveže vrv okoli starejšega rodeo klovna, ko ta sedi v zemlji.	Rodeo klovni se igrajo naokoli.	rodeo klovn priveže vrv okoli starejšega rodeo klovna pomeni, da se igrata.
358875403.jpg#3r1n	neutral	A duck flaps its wings near the water.	The duck prepares to fly away.	Just because a duck flaps its wings near the water doesn't mean that the duck is preparing to fly away.	Raca maha s krili ob vodi.	Raca se pripravlja na odlet.	Samo zato, ker raca maha s krili blizu vode, še ne pomeni, da se raca pripravlja odleteti.
8239102645.jpg#0r4e	entailment	Boys and men, mostly all wearing helmets, hang on to two separate cars while they ride skateboards.	Boys and men are outside.	We don't know if boys and men are in the same place, outside	Fantje in moški, večinoma vsi s čeladami, med vožnjo z rolkami visijo na dveh ločenih avtomobilih.	Zunaj so fantje in moški.	Ne vemo, ali so fantje in moški na istem mestu, zunaj
3594822096.jpg#2r1e	entailment	A man rides his bike through the woods.	A guy rides his transportation throught the thicket.	A bike is a form of transportation.  The woods is full of thickets.	Moški se vozi s kolesom po gozdu.	Tip se s svojim prevozom pelje skozi goščavo.	Kolo je oblika prevoza. Gozd je poln goščav.
2677528593.jpg#3r1c	contradiction	4 people watch as a person jumps off a pier.	A person is watching a movie.	Theses are different subjects: four people or one person.	4 osebe opazujejo, kako oseba skoči s pomola.	Oseba gleda film.	Diplomske naloge so različne teme: štiri osebe ali ena oseba.
47798735.jpg#0r1c	contradiction	A newborn is crying as healthcare workers check the baby's reflexes.	A baby examines an adult	Baby's is different than adult.	Novorojenček joče, medtem ko zdravstveni delavci preverjajo otrokove reflekse.	Otrok pregleda odraslega	Dojenček je drugačen od odraslega.
5733760.jpg#4r1e	entailment	A man wearing glasses on stage holding a microphone.	A man holds a microphone on stage.	A man doesn't have to be on glasses for them to be holding a microphone.	Moški z očali na odru drži mikrofon.	Moški drži mikrofon na odru.	Moškemu ni treba nositi očal, da lahko drži mikrofon.
326334188.jpg#4r1c	contradiction	A man exploring a cave.	The man is ocean fishing.	He cannot be fishing and exploring a cave at the same time.	Človek, ki raziskuje jamo.	Človek lovi oceanski ribolov.	Ne more hkrati loviti ribe in raziskovati jame.
400949109.jpg#1r1c	contradiction	Two black boys sit in fishing boats with their casting nets.	Two boys are swimming in a lake.	People can't sit in fishing boats while swimming.	Dva črna fanta sedita v ribiških čolnih z mrežami.	Dva fanta plavata v jezeru.	Ljudje med plavanjem ne morejo sedeti v ribiških čolnih.
1690926854.jpg#3r1e	contradiction	A group of volleyball girls high-fiving each other in a gym.	A group of volleyball girls hugging each other in a gym.	The girls cannot be high-fiving and hugging each other simultaneously.	Skupina odbojkaric si daje pet v telovadnici.	Skupina odbojkaric, ki se objemajo v telovadnici.	Dekleta si ne morejo hkrati dati pet in se objemati.
3677693858.jpg#1r1e	entailment	a young man wearing a blue shirt jumping off a swing set	A boy plays outside.	The boy is a young man playing and jumping off a swing set out side	mladenič v modri majici skoči z gugalnice	Deček se igra zunaj.	Fant je mladenič, ki se igra in skače z gugalnice, postavljene ob strani
149388615.jpg#3r5c	contradiction	People are standing on a train platform waiting for the train.	People are waiting for a plane.	People can not be at train station waiting for a plane.	Ljudje stojijo na železniškem peronu in čakajo na vlak.	Ljudje čakajo na letalo.	Ljudje ne morejo biti na železniški postaji in čakati na letalo.
vg_len117r3c	contradiction	A white kitchen corner displaying a microwave, garbage bin, dishes, stove, and other items. 	The kitchen corner is gray marble	white is contradictory to gray	Bel kuhinjski kotiček z mikrovalovno pečico, košem za smeti, posodo, štedilnikom in drugimi predmeti.	Kuhinjski kotiček je iz sivega marmorja	bela je v nasprotju s sivo
4061703371.jpg#0r1c	contradiction	Person in full equestrian gear stoops down next to the back half of a brown horse.	People are running from the bulls.	People is more than one person while person is just one person.	Oseba v polni konjeniški opremi se skloni k zadnji polovici rjavega konja.	Ljudje bežijo pred biki.	Ljudje so več kot ena oseba, medtem ko je oseba samo ena oseba.
156204899.jpg#0r4n	neutral	Two scuba divers underwater wearing white shirts and scuba equipment along with fins on their feet.	Two people go scuba diving for the first time.	The two scuba diver are not necessarily first time divers.	Dva potapljača pod vodo, oblečena v bele srajce in potapljaško opremo, skupaj s plavutmi na nogah.	Dva človeka se prvič potapljata.	Ni nujno, da se potapljača prvič potapljata.
4447231069.jpg#4r1e	entailment	Young men play a game of rugby on the beach.	rugby is being played	Play and played describe the same activity.	Mladi moški igrajo partijo ragbija na plaži.	igra se ragbi	Igra in igral opisujeta isto dejavnost.
4855462190.jpg#1r3c	contradiction	A man with a hat and long gray beard, wearing cross, is holding a napkin and striped box.	A man is holding a wheel of cheese.	Cheese is biological and napkins are not, they cannot exist at the same time at the same place.	Moški s klobukom in dolgo sivo brado, s križem, drži prtiček in črtasto škatlo.	Moški drži kolo sira.	Sir je biološki, serviete pa ne, ne morejo obstajati hkrati na istem mestu.
6491219357.jpg#3r1c	contradiction	Performers in bright costumes and masks stand before an Asian crowd.	The street was bare except for a dog.	If there are performers and a crowd, the street is not bare except for a dog.	Nastopajoči v svetlih kostumih in maskah stojijo pred azijsko množico.	Ulica je bila gola, razen psa.	Če so nastopajoči in množica, ulica ni gola, razen psa.
1680674943.jpg#0r2c	contradiction	Two little girls are playing in their house, one is on the floor grinning evilly wearing pink pajamas and the younger one is standing over her wearing a hairnet and mask and purple pajamas.	The girls are outside.	cannot be in their house and outside at same time	Dve punčki se igrata v njuni hiši, ena leži na tleh in se zlobno smehlja v rožnati pižami, mlajša pa stoji nad njo z mrežico za lase in masko ter v vijolični pižami.	Dekleta so zunaj.	ne more biti v svoji hiši in zunaj hkrati
2080033499.jpg#0r1n	neutral	A brown dog with a lease is running with a person behind the dog.	the man is jogging with his dog	Being behind does not imply jogging.	Rjav pes z najemom teče z osebo za psom.	moški teče s svojim psom	Biti zadaj ne pomeni teka.
6958079140.jpg#1r1n	neutral	A guy wearing earmuffs and shooters glasses sites his rifle's scope on a target.	the man is outside.	outside doesn't always mean  target.	Moški z naušniki in strelskimi očali usmerja strelni daljnogled na tarčo.	človek je zunaj.	zunaj ne pomeni vedno cilja.
6497851023.jpg#0r1e	entailment	A man in a black and yellow jacket is snowboarding, while others stand in the background.	People are watching a man snowboard.	People are watching the man snowboard because he is very good at it.	Moški v črno-rumeni jakni deska na snegu, drugi pa stojijo v ozadju.	Ljudje gledajo moškega, ki deska na snegu.	Ljudje gledajo moškega, ki deska na snegu, ker je v tem zelo dober.
761479953.jpg#4r1e	entailment	A young boy swimming with goggles.	a boy goes swimming	Often, people use goggles when they go swimming.	Mlad fant plava z očali.	fant gre plavat	Ljudje pogosto uporabljajo očala, ko gredo plavati.
2203224077.jpg#1r5e	entailment	A girl is eating cereal from a bowl while sitting at a table.	A girl sits and eats.	The girl is sitting because she is eating cereal at a table.	Deklica jé kosmiče iz sklede, medtem ko sedi za mizo.	Dekle sedi in jé.	Deklica sedi, ker za mizo jé kosmiče.
2929272606.jpg#1r1e	entailment	A young girl is looking at a body of water while an older male kneels behind her.	A man and a girl are looking at water.	young girl and older male are the man and girl	Mlado dekle gleda vodno telo, medtem ko starejši moški kleči za njo.	Moški in dekle gledata vodo.	mlado dekle in starejši moški sta moški in dekle
3225025519.jpg#1r1c	contradiction	A man speaks into a microphone being held by another man.	Four men share a microphone.	Men means more than one man.	Moški govori v mikrofon, ki ga drži drug moški.	Štirje moški si delijo mikrofon.	Moški pomeni več kot enega moškega.
6999353542.jpg#4r1n	neutral	A busy street corner with lots of people and a man getting his head shaved.	A man lost a bet.	A man getting his head shaved does not mean he lost a bet.	Živahen ulični vogal z veliko ljudmi in moškim, ki si ga obrijejo na glavo.	Človek je izgubil stavo.	Če si človek obrije glavo, še ne pomeni, da je izgubil stavo.
380808487.jpg#1r1c	contradiction	A surgeon is working on a patient using surgical tools.	A surgeon is sleeping.	One cannot be working while sleeping.	Kirurg dela na pacientu s kirurškim orodjem.	Kirurg spi.	Človek ne more delati med spanjem.
189478619.jpg#0r5e	entailment	Two men in white shirts with suspenders, blue neckties, and gray hats, stand to the side as people walk by.	Two men wearing shirts, ties, and hats stand as people walk past.	"""As people walk past"" is a rephrasing of ""as people walk by""."	Dva moška v belih srajcah z naramnicami, modrimi kravatami in sivimi klobuki stojita ob strani, ko ljudje hodijo mimo.	Dva moška s srajcami, kravatami in klobuki stojita, medtem ko ljudje hodijo mimo.	&quot;Ko ljudje hodijo mimo&quot; je preoblikovana beseda &quot;kot ljudje hodijo mimo&quot;.
4264591578.jpg#1r1n	neutral	A boy is pulling a little boy in a red sled through the snow.	Two brothers are playing together on a winter day.	It is not must the boys are brothers.	Deček vleče dečka v rdečih saneh po snegu.	Dva brata se igrata skupaj na zimski dan.	Ni nujno, da so fantje bratje.
410042380.jpg#3r1e	entailment	A woman is sitting in a brown chair in the center of a mall.	A lady on a chair.	in a both sentence  a woman is sitting in a chair.	Ženska sedi na rjavem stolu v središču nakupovalnega središča.	Gospa na stolu.	v obeh stavkih ženska sedi na stolu.
4700437495.jpg#0r4e	entailment	a lady is wearing all black with a whistle in the middle of rollerskaters.	A woman has possession of a whistle and black clothing	A lady with a whistle has possession of a whistle.	gospa v črnem s piščalko sredi rolarjev.	Ženska ima pri sebi piščalko in črna oblačila	Dama s piščalko ima piščalko.
3741827382.jpg#2r1n	neutral	A young boy plays in front of a blue object.	A boy is playing in front of a fire hydrant.	Not all blue objects are a fire hydrant	Deček se igra pred modrim predmetom.	Deček se igra pred požarnim hidrantom.	Niso vsi modri predmeti požarni hidrant
3826504213.jpg#0r2n	neutral	A woman sits hidden in the dried stray awaiting an animal in the wild.	a woman hides in dry stray under a tree waiting for a wild animal	An animal does not have to be wild.	Ženska sedi skrita v posušenem potepuhu in čaka na žival v naravi.	ženska se skriva na suhem potepuhu pod drevesom in čaka na divjo žival	Ni nujno, da je žival divja.
753511019.jpg#4r1n	neutral	Woman eating lunch on campgrounds.	The women are working together	If the women are eatign lunch, they are not working.	Ženska je kosilo v kampih.	Ženske delajo skupaj	Če ženske jedo kosilo, ne delajo.
599235529.jpg#3r1n	neutral	Two people are asleep on a park bench.	A young couple resting after a night of partying.	You can not infer they are resting.	Dve osebi spita na klopci v parku.	Mlad par počiva po nočni zabavi.	Ne morete sklepati, da počivajo.
3163198309.jpg#4r1e	entailment	One person snowboarding while others look on.	a person is snowboarding	A person is snowboarding while other look on.	Ena oseba deska na snegu, drugi pa opazujejo.	oseba deska na snegu	Oseba deska na snegu, drugi pa opazujejo.
4733508705.jpg#1r1n	neutral	A woman wearing a tan hat with a red sweatshirt wrapped around her shoulders stands in the middle of a small crowd.	a women enjoys a celebration	JUST BECAUSE THE WOMAN STANDS IN THE MIDDLE OF A SMALL CROWD DOES NOT MEAN SHE IS AT A CELEBRATION.	Sredi majhne množice stoji ženska z rumenorjavim klobukom in rdečo jopico, ovito okoli ramen.	ženska uživa v praznovanju	SAMO KER ŽENSKA STOJI SREDI MANJŠE MNOŽICE, ŠE NE POMENI, DA JE NA PRAZNOVANJU.
2379421650.jpg#3r1n	neutral	a person in a green outfit cooking a meal	The person is a professional chef.	The person is cooking a meal but isn't necessarily a professional chef.	oseba v zeleni obleki, ki kuha obrok	Oseba je profesionalni kuhar.	Oseba kuha obrok, vendar ni nujno poklicni kuhar.
1066252238.jpg#0r3c	contradiction	A boy in a pink T-shirt is riding a bike over a sand pile while two others are riding in the street.	The boy riding a bike over a sand pile is wearing a blue shirt.	Blue is not pink.	Fant v rožnati majici se s kolesom vozi po kupu peska, druga dva pa se vozita po ulici.	Fant, ki se s kolesom pelje čez kup peska, nosi modro srajco.	Modra ni roza.
3518822380.jpg#1r1n	neutral	Three people are standing in front of a blue wall with graffiti on it, while three metal poles and three green crates are in the foreground.	Three people admiring their graffiti.	Just because the people are standing in front of the graffiti doesn't mean they are admiring the graffiti	Trije ljudje stojijo pred modrim zidom z grafiti, v ospredju pa trije kovinski drogovi in trije zeleni zaboji.	Trije ljudje občudujejo svoje grafite.	Samo zato, ker ljudje stojijo pred grafitom, še ne pomeni, da ga občudujejo
4936359688.jpg#4r1e	entailment	People eating at a French restaurant.	There are people having a meal.	People have meals at restaurant.	Ljudje jedo v francoski restavraciji.	Obstajajo ljudje, ki jedo.	Ljudje imajo obroke v restavraciji.
3753946172.jpg#2r1e	entailment	Two guys and 2 girls out running possibly in a marathon in a park.	The three people are running.	Both subjects are running	Dva fanta in 2 dekleti tečejo morda na maratonu v parku.	Trije ljudje tečejo.	Oba subjekta tečeta
4871515296.jpg#3r1c	contradiction	A fellow in a green shirt plays a xylophone.	The girl in the red shit plays the drums.	The same subject cannot be both a fellow and a girl.	Fant v zeleni majici igra na ksilofon.	Dekle v rdečem dreku igra bobne.	Isti subjekt ne more biti hkrati kolega in dekle.
139719522.jpg#0r3e	entailment	A young boy with black hair and tie-dyed shirt and jeans and an older man balding with a long-sleeved dark shirt and jeans working on lawn equipment.	Two people working on lawn equipment.	Two people is a simpler way of describing a group that consists of a young boy and an older man.	Mlad fant s črnimi lasmi in pobarvano srajco ter kavbojkami ter starejši moški, ki pleša v temni srajci z dolgimi rokavi in kavbojkami, delata na opremi za zelenico.	Dve osebi delata na opremi za trato.	Dve osebi je enostavnejši način za opis skupine, ki jo sestavljata mlad fant in starejši moški.
4849118892.jpg#0r1n	neutral	A man with short brown hair wearing a red shirt is sitting outdoors next to a woman wearing a black and white blouse.	The man and woman are married to each other.	A man and woman does not imply they are married to each other.	Moški s kratkimi rjavimi lasmi, oblečen v rdečo srajco, sedi na prostem poleg ženske, oblečene v črno-belo bluzo.	Moški in ženska sta poročena drug z drugim.	Moški in ženska ne pomeni, da sta poročena drug z drugim.
2959941749.jpg#2r1n	neutral	two hockey player teams playing a game on the ice	Two rival hockey teams are in the final seconds of the game.	Just because two hockey teams are playing a game on the ice doesn't necessarily mean they are rival hockey teams.  One can't necessarily conclude they are in the final seconds of the game.	dve ekipi hokejistov igrata igro na ledu	Dve nasprotujoči si hokejski ekipi sta v zadnjih sekundah tekme.	Samo zato, ker dve hokejski ekipi igrata igro na ledu, še ne pomeni nujno, da sta tekmični hokejski ekipi. Ne moremo nujno sklepati, da so v zadnjih sekundah tekme.
3433341061.jpg#3r1e	entailment	A Jewish family having a meeting.	The family is together.	A jewish family is getting together for a meeting.	Židovska družina na sestanku.	Družina je skupaj.	Judovska družina se zbira na sestanku.
1616086463.jpg#2r1e	entailment	Four people wearing chains standing in a glass box.	Four people are in a glass box.	Standing in a glass box can be rephrased as in a glass box.	Štirje ljudje, ki nosijo verige, stojijo v stekleni škatli.	Štiri osebe so v stekleni škatli.	Stanje v stekleni škatli lahko preoblikujemo kot v stekleni škatli.
